"Detergent            ",Curatenie
"Broccoli             ",Legume
"Iaurt                ",Lactate
"Ketchup              ",Alimente
"ou                   ",Alimente
"piept pui            ",Alimente
"Emmental             ",Lactate
"Lapte                ",Lactate
"Lapte cafea          ",Lactate
"Crema branza         ",Lactate
"Unt                  ",Lactate
"Sunca                ",Alimente
"Croissant            ",Fainoase
"Croissant cu unt     ",Fainoase
"Franzela             ",Fainoase
"Paine                ",Fainoase
"Banane               ",Fructe
"Peroni               ",Tutun&Alcool
"Cafea                ",Bauturi
"Cidru                ",Tutun&Alcool
"Muschi file          ",Alimente
"Piept file           ",Alimente
"Peste file           ",Alimente
"Somon file           ",Alimente
"Ton                  ",Alimente
"Tortitzi             ",Alimente
"Popcorn              ",Alimente
"Apa                  ",Bauturi
"Apa zizin            ",Bauturi
"Aqua Carpatica       ",Bauturi
"Apa Bucovina         ",Bauturi
"Linte                ",Legume
"Porumb               ",Alimente
"Salata               ",Legume
"Salata verde         ",Legume
"Aripi                ",Alimente
"Toast                ",Alimente
"fructe               ",Alimente
"Pasta de dinti       ",Igiena
"Prosop               ",Curatenie
"Masline              ",Alimente
"Chipsuri             ",Alimente
"ciocolata            ",Alimente
"Laveta               ",Curatenie
"icre                 ",Alimente
"Cantar               ",Instrumente
"Caju                 ",Alimente
"Sticksuri pisici     ",Hrana_animale
"Hrana pisici         ",Hrana_animale
"Pernute pisici       ",Hrana_animale
"pisici               ",Hrana_animale
"Kitekat              ",Hrana_animale
"sandwich             ",Alimente
"aripi pui            ",Alimente
"baton fructe         ",Alimente
"Popcorn unt          ",Alimente
"agenda               ",Papetarie
"caiet                ",Papetarie
"pix                  ",Papetarie
"pixuri               ",Papetarie
"creioane             ",Papetarie
"faina                ",Produse_de_baza
"branza               ",Lactate
"foietaj              ",Alimente
"salata               ",Alimente
"icre                 ",Alimente
"Servetele            ",Igiena
"Mandarine            ",Fructe
"Portocale            ",Fructe
"Clementine           ",Fructe
"Castraveti           ",Fructe
"Rosii                ",Legume
"Ananas               ",Fructe
"Avocado              ",Fructe
"Ardei                ",Legume
"Ardei capia          ",Legume
"Ardei gras           ",Legume
"Fasole               ",Legume
"Usturoi              ",Legume
"Morcovi              ",Legume
"Conopida             ",Legume
"Dovlecel             ",Legume
"Dovleac              ",Legume
"Castraveti           ",Legume
"Ceapa                ",Legume
"Rucola               ",Legume
"Cartofi              ",Legume
"Hrean                ",Legume
"Marar                ",Legume
"Patrunjel            ",Legume
"Spanac               ",Legume
"Varza                ",Legume
"Stevie               ",Legume
"Vanata               ",Legume
"Naut                 ",Legume
"Linte                ",Legume
"Soia                 ",Legume
"Gulie                ",Legume
"telina               ",Legume
"sparanghel           ",Legume
"ridichi              ",Legume
"sfecla               ",Legume
"ghimbir              ",Fructe
"anghinare            ",Legume
"mazare               ",Legume
"mar                  ",Fructe
"mere                 ",Fructe
"afine                ",Fructe
"ananas               ",Fructe
"mandarine            ",Fructe
"portocale            ",Fructe
"clementine           ",Fructe
"gref                 ",Fructe
"grepfruit            ",Fructe
"pomelo               ",Fructe
"lamai                ",Fructe
"lime                 ",Fructe
"cirese               ",Fructe
"pepene               ",Fructe
"kiwi                 ",Fructe
"zmeura               ",Fructe
"mure                 ",Fructe
"fragute              ",Fructe
"coacaze              ",Fructe
"fructul pasiunii     ",Fructe
"mango                ",Fructe
"struguri             ",Fructe
"grapefruit           ",Fructe
